,Tipo_Comida,Calificacion,Comentario,Calificacion_Comentario
188,"Bar, Pub",negative,lamentablemente la comida servida sampler un combinado de boquitas la carne pasada de termino las papas tiesassolo las tiritas de camote estaban bien 😡,2
189,"Bar, Pub",positive,es un lugar tranquilo rico y con una muy linda decoración precios normales y buena atención recomendado tienen una gran variedad de cervezas tanto artesanales como comerciales de distintas marcas pero también cuentan con bebidas no alcohólicas yo me tomé una naranja con albahaca y estaba rica un poco cara para el tamaño eso sí,4
190,"Bar, Pub",positive,este es un pequeño restaurante bar o lo que sea donde la cerveza es un punto de artesanía así como buena comida no es el más barato disponible pero sin duda un lugar de gran valor,5
191,"Bar, Pub",positive,fui allí con un par de amigos más jóvenes mucho más jóvenes lo elegí y me alegro de que me dieron a conocer trajo recuerdos de un pub que frecuentan mientras en la universidad y donde aprendí a beber cerveza de verdad las hamburguesas son excepcionales una buena selección de cervezas y artesanías no muchas pero las adecuadas de acuerdo a mi gusto prefiero mis favoritos en su propia casa de hecho el servicio era bueno aunque la gente era de luz mientras estuvimos allí música agradable no demasiado alto así que pudimos disfrutar de nuestra conversación una muy buena relación calidadprecio en general,4
192,"Mexicana, Internacional",positive,lejos del terruño nos supo a glorialos chiles en nogada de temporada muy buenos y la cochinita pibil muy buena también,4
193,"Mexicana, Internacional",positive,un lugar muy acogedor comida tipo mexicana muy deliciosa un lugar al que sin duda alguna tengo que regresar,5
194,"Mexicana, Internacional",negative,hoy a las 250 pm llegue a este lugar muy emocionada de ir a ver este lugar que se veía tan hermoso pero cuando llegue no había ni un alma y yo empecé a llamar para que me atendieran y cuando llega una señora mal encarada y como frustrada con la vida se nos queda viendo y nos dice que quieren yo le respondo disculpe no entiendo y mi mamá dice es que queremos comer y la señora se fue y llamo a una empleada y la muchacha nos dice cerramos en 10 minutos la cocina y entonces decimos irnos como es posible que les moleste que lleguen clientes que señora más corriente maleducada y ridícula que creyó que íbamos a ir hacer a pedir limosna uno no se espera semejante trato de un lugar así una soda de mercado disfrazado de lugar fino y estoy segura que ni en el mercado central lo humillan de esa manera como esa señora lo hizo lo peor del caso era que llevamos a mi abuela de 81 años a celebrar su día de cumpleaños seguro lo que quieren es perder toda la clientela que ese lugar con tantas mejores opciones y escogimos la peor opción que asco de lugar,1
195,"Mexicana, Internacional",positive,visite el restaurante para el almuerzo y probe uno de los platos del menu especial de almuerzo el lugar es muy lindo la atencion buena el precio de este menu es tambien bueno,3
196,"Mexicana, Internacional",negative,emocionados de ver el festival de luces en el barrio escalante y debido a la lluvia decidimos probar frida las bebidas estaban bien no está mal no es genial y eran grandes el problema fue que el quesadilla de pollo no hay pollo y finas como una hoja de papel muy decepcionante tanto la camarera y el propietario que estaban muy muy bien empujado el plato más caro en el menú la franja de nueva york por más de 10 000 colones gracias a dios que no pedir entradas pagamos por el vacío y el apetito sin problemas nuestro bien finas bebidas y a la izquierda además camarera desapareció por un tiempo muy largo después que dejó la comida y era tan difícil conseguir la ley que había de bandera otros miembros del personal muy muy decepcionado con este restaurante y nunca volveré de nuevo ir a taco bell tienen mejor quesadillas aguimd un decepcionado tico,2
197,"Mariscos, Fusión, Costarricense",negative,visitamos el restaurante para una reunión de trabajo de primera entrada no recibimos un trato adecuado del mesero si se le pedía algo nos respondía como enojadoen segundo lugar tuvimos la pésima experiencia de que saliera un pelo en la comida la comida en general no tuvo nada de especial no lo recomiendo,1
198,"Fusión, Gastropub, Comida de calle, Mariscos, Asiática, Coreana, Pub",negative,el día domingo 24 de febrero junto a unos amigos decidimos almorzar en este lugar tras haber ordenado y después de 30 minutos trajeron la bebidas refrescos 20 minutos más entradas buenas la espera continuo y luego de 90 minutos decidimos retirarnos tras reclamar y la explicación estamos sin chef pues su señora dio a luz no más comentarios seguro no volveremos,1
199,"Fusión, Gastropub, Comida de calle, Mariscos, Asiática, Coreana, Pub",positive,muy buen servicio y excelente comida comimos mariscos y fue excelente decisión sobre todo fondo de mariscos,5
200,"Mexicana, Latina, Española",positive,fui con mi esposa para probar el lugar y la comida de ella estaba pasable al pedir los tacos de pescado no estaban bien cocinados les falta un poco mas de sabor en la comida lo digo de forma constructiva,4
201,"Mexicana, Latina, Española",negative,si consideramos lo que ofrecen es bastante caro ya que los platos son muy pequeños el plato que pedí no tenia sabor era pura grasa y sal además no ofrecieron salsa picante desde un principio se supone que eran tacos de birria y la tortilla estaba toda suave no tenían queso y la salsa era puro aceite y sal,1
202,"Mexicana, Latina, Española",negative,visitamos el restaurante por tercera vez y probablemente la últimalas salsas parecen sintéticas el queso fundido no tenia sabor a nada más que grasa usaron hongos y frijoles enlatados toda una decepciónfinalmente decir que se les pasó la mano con la sal,1
203,"Mexicana, Latina, Española",negative,nunca había probado una sopa azteca tan asquerosa ni me la pude comer el lugar bonito pero la comida asquerosa y me pareció caro ósea le den algo que ni se puede comer y vez que con costo prueba la comida y aun así se la cobran hasta me enfermo con solo probar lo,1
204,"Mexicana, Latina, Española",negative,llegamos a las 940 pm faltaban 20 minutos para cerrar y no nos dejaron ni tomar asiento cuando entramos no había nadie atendiendo en la puerta y la única persona que nos recibió nos pidió que abandonaremos el lugar por que ya habían cerrado aun sin tener cerrado el acceso al local ni rótulo ni nada que nos advirtiera del cierremuy decepcionada no me interesa entrar nuevamente a este lugar tan poco hospitalario,2
205,Pizzería,positive,un excelente lugar para bailar tomar y divertirse la atención es buena aunque toca hacer mucha fila y reservar los precios están bien y es muy central a todo,5
206,"Latina, Española, Sudamericana, Costarricense",positive,el lugar está ubicado detrás del teatro de la antigua aduana ofrece opciones económicas de comida y cerveza artesanal el segundo piso es más agradable y tiene mejor vista,4
207,"Pub, Gastropub, Pizzería",negative,esperamos mucho tiempo a que nos atendieran y nunca llegaron a pesar de llamar a los meseros varias veces pésima atención y ni siquiera había mucha gente no me imagino cuando esté lleno nos fuimos a otro lugar,1
208,"Churrasquería, Parrillada, Bar de vinos, Argentina, Sudamericana",negative,la sangría se pasa de dulce y la comida no es mala lo pésimo es el trato del dueño sin avisar de previo la hora del cierre siendo nuestra mesa la última ocupada nos apagó las luces para echarnos y luego de reclamarle para que encendiera la luz no paro de golpear el mostrador en señal de prisa al pagar se mostró soberbio y no quiso reconocer el mal trato que recibimos nunca más,1
209,Mariscos,negative,cuando descubro un restaurante los hago en etapas y realmente la primera prueba de este restaurantes ha sido fatal pedimos dos entradas para compartir y unas bebidas el bucket de papas y mariscos un precio nada generoso y comparada con el engaño de porción gigante a simple vista un 75 papas de resto muchas conchas empanizadas uno que otro camarón pequeño y trozo de pescado un aro de calamar si acaso no se qué concepto de mariscos y tienen allí pero realmente empanizar conchas es lo más estafador que pueden vender hacer volumen de algo que es al atractivo del “plato” donde la mayoría son papas acompañada de una “ tártara” no se pero no perdono el uso de mayonesa de tarro me parece que al menos un restaurante que figura en la lista de mejores de la zona y de mariscos deberían hacrr su propia tártara que por cierto la tártara lleva algo más que pepinillos ₡9350 por comer papas y conchas con hellmans no no no un tartar de atún que es un insulto a la cocina tradicional un marinado nada especial a pura soya un corte bruto una presentación de soda una porción decente pero sin mucho sabor servido en un bowl sin cariño sin personalidad un sabor nada particular algo simple tosco común y rápido un tartar que debería ser algo especial hay que esforzarse por convertirlo en un estilo de soda e le queda grande el nombre de un platillo tan icónico en fin decepcionante esperaba más del 2 restaurante mejor calificado de curridabatrescato el servicio bastante profesional bastante amable y bueno y si lo voy a decir no pueden tener mesas de soda donde los bordes están carcomidos por el uso si no quieren poner mantel cambien esas mesas que ya dieron lo suyo o restaurenlas,2
210,Mariscos,negative,estuve en el restaurante para almorzar pedimos la sopa de mariscos puerto viejo y tardaron 1 hora para servirnos porque según el mesero la orden nunca llegó a la cocina finalmente nos quejamos sobre la calidad de la comida que venía simple y los mariscos deficientes pero no nos cobraron la comidaen otras ocasiones la comida y el servicio me han parecido buenos este domingo no fue un buen día,1
211,Mariscos,positive,el día de ayer visitamos el restaurante y pedimos la sopa de mariscos puerto viejo simplemente deliciosa no he visto esta receta en otros restaurantes me parece muy original y con un sabor único no es picante pero tiene el sabor del chile panameño el otro plato fue el risotto de salmón al verdi y también estaba delicioso de verdad recomiendo estos dos platos,5
212,"Estadounidense, Comida rápida",negative,muy alto el precio para la cantidad de helado ofrecida el lugar no muy cómodopor la tarde fuerte el sol y hay que hacer fila en la acera siendo el lugar atendido por solo una persona cobrando y sirviendo lo que hace es pasar de ventana al cliente para recibir el helado,2
213,"Churrasquería, Argentina, Sudamericana",negative,pero cuando me cobran por un simple plato donde lleva menos de 1 hoja de lechuga y medio tomate 3250 por un plato pequeño de ensalada se le quitan las ganas a uno de volver,2
214,"Churrasquería, Argentina, Sudamericana",negative,fuimos a almorzar en familia y la experiencia en este novillo alegre de plaza antares fue desagradable como siempre ha sido y por eso precisamente a este jamás volveremos los meseros atienden muy mal y no les importa hacer grocerias hacen mal su trabajo y tras de eso se enojan si uno les pide algo lo único agradable fue el sabor de la comida que siempre está bien lástima que no les importe dar buen servicio deberían de aprender de los saloneros del novillo de plaza mango porque ellos siempre dan muy buen servicio,1
215,"Pub, Gastropub, Comida de calle, Sudamericana, Costarricense",negative,los empleados aquí son los peores de todos los bares que he visitado en costa rica tenía una identificación real y el gorila no la aceptó un otro gorila me dejó entrar y después de dos horas me echaron hablé con la policía y ellos dijeron que mi identificación era real todos los gorilas eran groseros desagradables y irrespetuosos si quiere tener una noche buena te recomiendo bares en la calle como einstein’s y xscape no puedo decir lo suficientemente malas cosas sobre este establecimiento,1
216,"Japonesa, Sushi, Asiática",negative,malísimo el peor intento de sushi que he probado rollo de arroz alga y pepino todos son iguales alguno con un medio embarrijo de aguacate lamentable por el precio,1
217,"Japonesa, Sushi, Asiática",negative,compré una promo hace unos días y no sé si fue por ser promo o así de mala es el sushi siempreme aplicaron la letra pequeña que no se ve imagen solo de referencia maki de arroz varios tipos de sushi eran prácticamente rellenos de pepino uno en especial era de arroz sin avinagrar sin salsa de anguila,1
218,"Japonesa, Sushi, Asiática",negative,pésimo lugar ya había ido antes y quedé con mala impresión decidimos darle una segunda oportunidad que solo sirvió para confirmar que no es un lugar para volver el servicio malísimo desde el primer momento tanto que ni sé por dónde empezar la historia cuando nos sentamos en la mesa previamente reservada el salonero duró un rato en llegar a atendernos y entregar menús le entregamos los yuplones de una vez unos 510 mins después volvió a la mesa a decirnos “ah si iban a tomar algo” nos tomó la orden y 10mins después llegaron las bebidas de la primera ronda un té mal diluido en agua y hielo un jugo de piña muy rico y un vaso de jugo de naranja probablemente tampico en un lugar pequeño con solo 2 mesas ocupadas esto me parece inaceptable para la 2da ronda de bebidas les tomó 20mins en traernos un jugo de piña intomable por tanto dulce luego de la mala cara al decirles que estaba horrible duraron otros 15mins en traerlo de vuelta ya arreglado con la suerte que para ese momento habíamos terminado de comer nos quedamos con las ganas de pedir el otro refresco ya que nunca nos tomaron la orden terminamos compartiendo lo que había en la mesa a ver si “bajábamos la comida” pedimos sake para brindar venía tibio y con 2 copas en una mesa de 7 esto no tiene sentido por lo que pedimos las otras 5 copas 5mins después volvió el salonero y nos dijo que no encontraba las otras copas por lo que terminamos brindando con un sake frío por la espera y en los vasos vacíos que había en la mesa ya que ni siquiera nos dieron otra opción la comida no es excepción a la mala experiencia apenas llegamos les entregamos los 5 yuplones que traíamos vimos pasar 2 órdenes de gente que había llegado 1020mins después que nosotros y hasta la 3era vez que preguntamos 50 minutos después llegó nuestra orden de sushi para la sorpresa que los rollos eran más pequeños de lo normal mala práctica común en los restaurantes cuando ofrecen cupones con salmón viejo encima seco y con partes negras wasabi añejo seco y con sabor a plástico y sin jengibre lo tuvimos que pedir por aparte por suerte estaba muy rico y fresco en resumen desperdicio de dinero que pagamos por una mala noche que habíamos planeado como una linda celebración familiar por dos buenas noticias recientes,1
219,"Italiana, Mediterránea, Europea",positive,cuenta con parqueo pequeño pero al lado hay un estacionamiento desde que se ingresa el servicio es excepcional te ubican en una mesa tanto el primer piso como el segundo tienen espacios acogedores el menú es variado la comida y los postres muy sabrosos buenos vinos,5
220,"Italiana, Mediterránea, Europea",positive,íncreíble hoy fui con mi chica y fue espléndido mi pasta de la costa con un excelente sabor y muy fresca y la lasaña de mi pareja espectacular el servicio excelente desde hoy en adelante unos de mis restaurantes estrella,5
221,"Italiana, Mediterránea, Europea",positive,un lugar agradable para disfrutar de comida italiana la comida es muy rica servicio excelente precio calidad muy bueno,5
222,"Italiana, Mediterránea, Europea",positive,servicio los meseros muy atentos y traen todo lo que se les pide además de explicar cada platocalidad de la comida exquisitarelación calidad comidaprecio demasiado caro aún con lo bueno de la comidaambiente elegante algo pequeño pero acogedor los detalles de las mesas son muy bien cuidados,4
223,"Latina, Centroamericana, Costarricense",negative,a finales de los 90 tuve la agradable experiencia de conocer la criollita cerca del ins en san jose el fin de semana volví y noté un gran cambio que me hizo pensar en una experiencia agradablemente olvidable no lo recomiendo el sabor es regular la atención muy buena la cantiad de comida es para que cobren el 10 de lo que uno paga no se embarque,1
224,"Latina, Centroamericana, Costarricense",negative,aburrido comida sin sabor es bastante barato que puede justificar la calidad pero si lo que buscas es una buena experiencia de comida y luego encontrar otro lugar,2
225,"Latina, Centroamericana, Costarricense",positive,comimos aquí en nuestra última noche en san josé el miembro del personal que nos servía era extremadamente cortés y paciente probamos el calamar arroz y la lubina con ajo ambos eran muy buenos y las porciones eran enormes buena relación calidadprecio,4
226,"Latina, Centroamericana, Costarricense",positive,buen desayuno y un delicioso café restaurante cafetería y bar así que si te apetece una cerveza la criollita es un gran lugar para sentarse y charlar,4
227,"Latina, Centroamericana, Costarricense",positive,este lugar es sorprendentemente grande por dentro con bar los precios son muy razonables nos dieron muestras gratis de ceviche,4
228,"Latina, Centroamericana, Costarricense",negative,esta noche durante la comida ewwwww aún puede sentircamareracamarero parecía desinteresado primera vez que ha sucedidocierra a las 2030 h en un viernes por cierto este sitio tiene informacion inexacta pobre de ambiente jugamos cursi 1980 pap americano,1
229,"Latina, Centroamericana, Costarricense",positive,decidimos probar este muy recomendable restaurante y no nos decepcionófuimos a almorzar ya que hace mucho menos concurrido y pasamos excelente sentado en el patio entre las aves tropicales el servicio era genial la comida de muy buena calidad a un precio muy razonablemenús ofertas especiales están disponibles a la hora del almuerzoque probé el ceviche aperitivosy y terminó siendo el mejor que he probado en costa ricaen resumen recomiendo encarecidamente este lugar si quieres tener una buena idea de la comida local antes de explorar el resto del país,4
230,"Latina, Centroamericana, Costarricense",positive,este restaurante nos fue recomendado por nuestro hotel ya que el restaurante del hotel estaba cerrado esa noche la comida era deliciosa el servicio excelente y el vino de la casa fenomenal,5
231,"Latina, Centroamericana, Costarricense",positive,nos dirigimos a este sencillo restaurante local en sj a última hora de la tarde alrededor de 2100 h un montón de tipos exóticos de todo en la calle avenida 7 entre las calles 7 y 9 en la calle del hotel santo tomas pero nada tenso éramos los únicos clientes en el amplio establecimiento y el servicio era bueno y bastante rápido la camarera que hablaba algo de inglés era amable y servicial y fuimos para los platos de menú fijo éstas eran suficientes pero no era grande comenzando con un tazón de sopa inesperada y tostadas el zumo de piña también era bueno el precio era justo para un lugar local y nos sentimos como si se dejó en un secreto sencillo pero bueno como debería ser,4
232,"Mediterránea, Del Medio Oriente",positive,el lugar es precioso era una antigua casa ambiente mediterráneo y comida de esta zona libanesa arabe etc el cordero es espectacular y en general muy muy buena comida los precios no son económicos pero vale la pena,5
233,"Mediterránea, Del Medio Oriente",negative,será que lo visite en el momento no adecuado puede ser lo visite durante el festival gastronómico 130 horas de espera y al resto de mesas si las atendían medianamente mejor que la nuestra entiendo que quizás no esperaron la cantidad de personas será pero a eso se dedican o no el festival de cordero lo trajeron para 2 personas y lo pedí para 1 los ravioles eran en salsa de tomate y llegaron en salsa blanca las bebidas llegaron con 25 de atraso cero servilletas la camarera se disculpa pero no hace nada por remediarlo creo que es un buen restaurante pero para nosotros la experiencia fue pésima escuchar comentarios de la cocina donde se le acabo x producto cierre la cocina o caras y malos tratos deja mucho que desear,2
234,"Mediterránea, Del Medio Oriente",negative,pero en un restaurante la comida es lo principal comida servicio y precios van de la mano en mi visita este lugar me quedó debiendo una entrada que el menú indica es para dos personas pasa de ser una primera impresión y te invita a no seguir porciones minúsculas con un pan nada fresco mal aliñado y comercial no podría creer que es preparado ahí mismo en nada emula a un pan artesenal del mediterraneo que a pesar de múltiples recetas no puede ni debe ser como el ofrecido en mi visitamuy mezquina la porción de las muestras las cuales han de haber estado refrigeradas por un buen rato tanto rato que de guardar la frescura de los ingredientes se pasa a ingredientes añejos refrigerados sin importar ser una entrada dista mucho de ser para dos comensales esto junto con una atención desinteresada y a la ligera del mesero quien se limitó a tirar las cartas sin ningúna recomendación sugerencia o explicación preferí terminar mi entrada que con dos bebidas ya sumaba 26 dólares americanos decidí abandonar el sitio dejando a otros comensales la expreriencia de los platos fuertes y postres ya que si por la víspera se saca el día y si hasta la caja tuve que ir a cancelar la factura y retirar el vuelto no me imagino que hubiese pasado de haber ordenado algo más,2
235,"Mediterránea, Del Medio Oriente",negative,ok lo primero que quiero dejar claro es que mi comentario no tiene la intención de decir ni se acerquen a ese lugar es malisimo etc etcsimplemente quiero compartir mi horrible experiencia con ustedes para que tomen ciertas previsiones y no les pase como a nosotrosreservamos una noche para el cumpleaños de mi esposa especial por se su número 30 eramos 20 personasllegamos primero 7 personas a las 730 pmle dijimos claramente a la mesera vamos a ir pidiendo comida no vamos a esperar a todos vamos pidiendo van trayendo van llegando y pidiendo van trayendo ok nos ofrecieron por ser martes de paella una paella para una persona y paella para 2 personas ojo con este detalleok a las 8 pm en punto se pidieron las 4 primeras ordenes una paella para 2 personas un pescado con papas a la francesa para una niña de 9 años una pasta con algo y otra paella para una persona mi esposa y yo pedimos una entrada y el plato de ella una corvina y mi plato unas chuletas de cordero a la parrilla con raviolis rellenos de ricotta y espinaca este lo especifico bien porque es importante bueno primero que nada eran las 945 pm y no habíamos recibido ninguno de los platos o sea 1 hora 45 minutos después y solo habíamos recibido la entradapor supuesto ya había ido llegando en ese lapso de tiempo más invitados que iban pidiendo y obvio tampoco habían recibido su comidacuando nos molestamos comenzaron a aparecer los platosel plato de mi esposa una corvina fría se ve que estaba lista para servir antes y no entendemos porque no la habían hechomi plato ok mi plato se recuerdan las deliciosas chuletas de corderos con ravioles bueno estaban las chuletas con 4 pedacitos que nunca supe que era zuquini o berenjenas totalmente quemadas con 2 pedacitos de tomates pero bueno entre quemados e impresentables le pregunto srta esto no venía acompañado de ravioles me dice uy sr es que hoy no hay ravioles lo servimos con vegetales entonces mi enfado fue porque no me dicen desde un principio que no hay ravioles y que lo sustituyen con que a ver si yo lo acepto y 2do cuales vegetales le llaman vegetales a 4 pedazos de berenjenas y 2 pedazos de tomates yo ni berenjena como le digo se lo puedo cambiar por arroz o papas fritas o sea el mega plato de 12 mi colones que lo tengo que pagar me lo tengo que comer con papas fritas excelente no gracias solo me voy a comer las chuletasla pena del siglo fue cuando una amiga ordeno una paella para una persona y otra pareja ordeno una paella para 2 bueno le trajeron una paella junta que dijeron que era para 3 y le sacaron de esa paella un minúsculo plato con la porción a la persona que esperaba una paella individual que les parece otro compañero ordeno una paella para una persona mixta mariscos y pollo le llego su paella pero él se da cuenta que no tiene pollo y le pregunta mire srta y el pollo ayyyy no le pusieron o sea por supuesto la tuvo que pagar como mixta creo porque ya la verdad con tanta pena que tenía por nuestras amistades y familiares ni preguntebueno invitados que había llegado mucho después ya estaba comiendo otros molestos por todos los problemas de tiempo y adicional ordenes incorrectas se acuerdan el que ordenó a las 8 en punto una pasta aún no se la servían casi 1030 de la noche creemos que la mesera no tomo la orden o de verdad vuelvo y repito ya simplemente no nos importaba saber cual fue la razón lo único que queríamos era pagar y salir corriendorecomendaciones para el restaurante1 no acepten reservaciones grandes a simple vista se notó que no tienen la experiencia para manejar ese volumen de personas en una misma mesa2 si ofrecen platos para una persona y para 2 personas no se invente platos en plena velada de 3 personas es de mal gusto y muy desagradable esa persona no comió absolutamente nada y tuvo que pagarlo como un plato individual3 tienen un menú cierto si el menú dice que viene acompañado con tal guarnición y no la tienen informen al cliente para que este decida si quiere el plato o no no se lo traigan y le dicen cuando no tenemos esto le ponemos aquello es como ir a un restaurante francés y pedir un plato muy costoso de pato y cuando te llegue la orden veas unos nuggets y te digan es que cuando no hay pato lo cambiamos por nuggets y lo peor tenemos que pagar un plato caro de pato4 no es justo esperar hora y 45 minutos para cenar y otros hasta 2 horas pasadas por un plato de pasta5 tengan la decencia de algo reintegrar algo de lo que se ordeno y no fue recibido porque pague por un plato de 12 mil colones de ravioles y lo cambian por berenjenas y tomate e impresentables yo esperaba que me dijeran disculpe su plato va a costar tanto porque cambiamos ingredientes muy costosos de ese plato como ravioles ricota y espinaca y de dificil preparación por unos pedazos de berenjenas y tomates quemadosconclusiones de la noche tristeza de preguntarle a mi esposa dentro del carro bueno al menos nos reímos con los invitados como la pasaste y de escucharla casi apenada fue una congoja ver a todas mis amistades bravas por el servicio y no a gusto la pase muy mal en mi cumpleañosno puedo ni siquiera decir que si estaba buena o no la comida porque con tantas desagradables situaciones era imposible intentar saborear algosi hubiese estado con mi esposa o tal vez una pareja más no acepto esos platosde nuestra parte vetado de por vida este restaurante,1
236,"Mediterránea, Del Medio Oriente",positive,la comida es fresca y la atención es excelenteesta bien ubicado cerca de lugares de interes turísticola frescura de sus platos y la asesoria a la hora de elegir los platos es un factor importante para volver y recomendarlo a muchas personas,5
237,"Mediterránea, Del Medio Oriente",positive,comencé a este restaurante hace unos años cuando se llamaba aya sofia un colega y yo solía comer allí cuando trabajamos juntos me encanta el cordero platos las bolas de carne los platos sampler el café turco y el baklava con los años llegué a conocer mehmet el propietario fui a dos de las noches de arte y cultura uno en la comida del imperio otomano y la otra en la cocina siria conversaciones fascinantes tobogán presentaciones y la comida es fabulosa mehmet y algunos amigos mutuos vinieron a mi casa hace unos años y preparado una fiesta una delicia no vivimos en costa rica pero ya he visitado la semana pasada y lo principal en mi horario era para ir a almorzar en sofia mediterraneo,5
238,"Mediterránea, Del Medio Oriente",positive,excelente comida en un ambiente otomano gran noche vimos una presentación sobre el sultán y tradiciones en el imperio otomano pudimos conocer nuevas especias,5
239,"Mediterránea, Del Medio Oriente",positive,a pie de sofía mediterraneo es como entrar en una experiencia en algún lugar en el mediterráneo los olores de especias antiguos preciosos como cardamomo y comino hace que uno quiere probar cada plato en la junta de especial las carnes son mi favorito pero tuve la suerte de cenar con un grupo de nosotros y estuvimos encantados de haber una mezcla de platos vegetarianos además de pescado el plato de atún es para morirse y el chuletas de cordero no te quieres compartir con nadieme quedé satisfecha cuando eran tan complacientes con el pedido de mi 1 y 12 año para bebé más pan y delicioso baba ganoush el personal es amable y eficiente de sus platos y vinos el propietario y el director son una delicia para hablar y sobre todo un lugar estupendo en barrio escalante para pasar el tiempo descubriendo las maravillas de la cocina mundial sin duda se lo recomendaría a cualquiera que le guste un buen ambiente con una comida buenísima,5
240,"Italiana, Mediterránea, Europea",positive,la comida y el servicio te hacen sentir en italia un lugar acogedor excelentes vinos y la comida exquisita,5
241,"Italiana, Mediterránea, Europea",negative,fuimos un grupo de amigos a cenar a la entrada no había un anfitrión que nos atendiera tuvimos que hacerle señas para que se diera cuenta luego de 15 minutos nos arreglaron la mesa y como le dijimos al mesero que aún faltaban otros amigos por llegar simplemente se fue y no volvió a acercarse a la mesa como nuestros amigos faltantes se retrasaron decidimos pedir la orden y aún con señas y llamados el mesero no se acercaba sino al rato pedimos entre otras cosas sopa de tomate natural y sorpresa que cuando nos las sirvieron era sopa de caja no era natural al reclamar al mesero éste titubeó se fue a preguntarle al chef y nos cuenta que el chef manifestó que era sopa natural pero que a él no le consta sino que es mandado el chef nunca apareció en nuestra mesa también pedimos lomito al amaretto la carne muy buena y jugosa no así la salsa de amaretto que estaba bastante dulce la pizza nada del otro mundo en general el servicio del mesero muy deficiente y la comida ha bajado de calidad ante nuestras observaciones el dueño trató´de enmendar lo sucedido con digestivos de cortesía un restaurante como este situado en un barrio con tanta oferta gastronómica debería cuidar estos factores ante estas alternativas dejaremos de ir a este restaurante por mucho tiempo,2
242,"Italiana, Mediterránea, Europea",positive,increíble la corvina de tony al horno lomo de corvina especial de primera con vino blanco mantequilla y especias acompañada con pasta al dente o vegetales tiernos y frescos verdaderamente una delicia para recordarpor otra parte el servicio excelente expedito respetuoso en un ambiente cálido y agradable,5
243,"Italiana, Mediterránea, Europea",positive,excelente cocina ambiente muy agradable y buen chef muy concurrido al mediodíamuy bueno el risotto a la pescatora,4
244,"Italiana, Mediterránea, Europea",positive,el primer restaurante que he conocido desde cuando vivo en costa rica de verdadera comida italiana y mediterránea seguramente es el mejor entre todos lo recomiendo,5
245,"Italiana, Mediterránea, Europea",positive,localizado en una hermosa zona el local es agradable no tiene parqueo pero los carros de pueden dejar al frente al lado de la calle sin mayor inconvenientefina atención comida italiana con variedad de pastas pizzas y carnesel precio es el justo y el tamaño de las porciones el adecuadosus dueños ciro y tony contribuyen con la atención del lugar,4
246,"Italiana, Mediterránea, Europea",positive,con el paso de los años tony a pesar de haber cambiado varias veces de local sigue siendo el mismo gran chef que hemos tenido el placer de conocer por sus platos y su trabajo profesional ahora junto a ciro nos sorprendieron con este nuevo local muy espacioso y con una presentación impecable de sus platos ideal para disfrutar un buen almuerzo o cena en un lugar con muy buena atención y como siempre disfrutando de la gran variedad de platos y recomendaciones de los chef,4
247,"Contemporánea, Bar de vinos",negative,había escuchado muchísimo de este lugar pero lamentablemente todo estuvo mal dos botellas de vino devueltas y una comida sumamente grasienta en lo positivo tiene un bonito ambiente,1
248,"Contemporánea, Bar de vinos",negative,veníamos muy recomendados por amigos muy emocionados por probar este nuevo lugar el menú es diario y entendíamos que cambia día a día pero el día que vinimos no fue el día empezamos con tragos terriblemente preparados aperol spritz casi sin aperol y un tinto de verano vino y jugo de naranja la comida parecía peor que hecha en casa una pasta con tomate y broccoli adobada con lo que parecía cubito maggie el risotto de cordero sumamente amargo con sabor sumamente desagradable a arroz con leche hecho con leche evaporada una experiencia que deja mucho que desear en resumen no vale la pena calidad inferior por un precio muy alto,1
249,Internacional,negative,los platillos perdieron su toque de antes no sé qué pasó el lugar es muy agradable por eso me gustaba visitarlo tal vez mala suerte debe mejorar la calidad del platillo,2
250,Internacional,negative,prácticamente me echaron del lugar a pesar de que estaba vacío varias meseras se quedaron frente a la mesa haciendo presión para que no fuéramos y además comentaron pero si ellos ya se van recogieron la mesa en muchas ocasiones lo cual resultó muy incómodo dejo claro no tenía ni una hora de haber llegado al lugar lo cual el tiempo no era inconveniente y aún no era la hora de salida en mi vida volvería a ese lugar y cuánta gente puedo les comento de la mala experiencia vivida en este lugar,1
251,Internacional,positive,ratillo tengo ya de no ir pero de mi memoria no olvido los hongos rellenos con una copa de vino en medio de velas y una buena compañía pero sobre todo el postre de pecanas mmmm que rico de aspecto urbano pero cálido ambiente súper recomendado y grandes recuerdos tengo de almuerzos y cenas con amigos y pareja buen parque y precios razonables,4
252,Internacional,positive,un gran lugar de gran variedad en su carta de menúsus pequeños detalles lo hacen grande y su atencion especialmuy recomendado para una noche con amigos o pareja para pasar un momento bonito y compartir,5
253,Internacional,negative,después de semanas cenando en restaurantes de comida costarricense decidimos ir a un restaurante internacional como venía en la guía lonely planet pedimos una pizza para cenar y tal fue nuestra decepción parecía una pizza que compras en el supermercado y además lo peor de todo es que llevaba una pasta de frijoles en lugar de tomate como base nuestras ganas de comer algo diferente se esfumaron y además el sabor de la pizza dejaba mucho que desear puede que los demás platos estén mejor pero la pizza no es su fuerte,2
